"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043209","GO:0043209","myelin sheath","97/1390","192/9913",5.25437386350121e-34,3.09482620560221e-31,2.14599690425102e-31,"Ncam1/Sptan1/Atp1a1/Nefl/Rtn4/Atp6v1a/Pebp1/Alb/Nefm/Anxa2/Hspa8/Nefh/Stxbp1/Stip1/Dpysl2/Ckb/Pgam1/Tagln3/Tkt/Slc25a4/Slc25a5/Tcp1/Calm1/Prdx1/Vcp/Tuba1a/Plp1/Uchl1/Ehd1/Plec/Nsf/Pdha1/Atp6v1b2/Hsp90aa1/Tppp/Mdh1/Ldhb/Septin7/Mpz/Jam3/Tubb4b/Ass1/Pkm/Wdr1/Gsn/Eno1/Mdh2/Gapdh/Msn/Prdx2/Exoc4/Rala/Cltc/Mbp/Got2/Gdi1/Cdc42/Aco2/Atp1a2/Atp1a3/Atp1b1/Cnp/Cntn1/Cntnap1/Cox5b/Dld/Dlst/Dnm1/Eef1a2/Ehd3/Eno2/Gdi2/Gjc3/Gnao1/Gnb1/Hbb-b1/Ina/Llgl1/Napa/Napg/Ndufv2/Nme2/Pacsin1/Pals1/Plcb1/Prxl2b/Rdx/Sdha/Septin4/Sirt2/Slc25a3/Snap25/Sod1/Sucla2/Syn1/Syn2/Uqcrc2",97
"GO:0015629","GO:0015629","actin cytoskeleton","129/1390","406/9913",6.46511845846872e-21,1.90397738601904e-18,1.32024524309782e-18,"Dmtn/Add1/Sptan1/Cttn/Dctn4/Lasp1/Sptbn1/Coro1c/Fermt2/Add2/Sorbs1/Anxa2/Dpysl3/Bag3/Avil/Map2/Cnn3/Capzb/Septin5/Nebl/Zyx/Dctn2/Myh9/Cdc42ep4/Nf2/Dbn1/Crmp1/Dbnl/Tmod1/Cap1/Snca/Septin9/Lcp1/Capza2/Capg/Vcl/Septin7/Ptges3/Epb41/Actr10/Myl12b/Jam3/Pdlim1/Csrp1/Rac1/Dstn/Wdr1/Gsn/Arpc2/Pdlim5/Tpm2/Tpm1/Actr2/Cfl1/Pls3/Ablim1/Ablim2/Ablim3/Acta1/Akap13/Arhgap32/Arhgap35/Arpc1b/Arpc5/Asap1/Baiap2l1/Bcar1/Calb2/Carmil2/Cd2ap/Cdc42bpa/Cdc42bpb/Coro1a/Coro1b/Cttnbp2/Dctn3/Dctn6/Dgkh/Diaph2/Dst/Efr3b/Ehbp1/Enah/Fchsd1/Fkbp15/Flot1/Flot2/Gas2/Hck/Ilk/Itsn1/Ldb3/Llgl1/Marcks/Mark2/Micall2/Mprip/Msra/Mtpn/Mtss1/Mtss2/Myo18a/Myo1e/Myo9a/Pak1/Palld/Parva/Ppp1r12a/Prkcb/Ptpn11/Ptpn12/Pvalb/Rdx/Rtkn/Samd14/Snap25/Snx9/Srcin1/Stk38l/Synpo/Tmod2/Tsc1/Twf1/Twf2/Vps11/Vps16/Wasl/Wipf2/Wipf3",129
"GO:0031252","GO:0031252","cell leading edge","114/1390","354/9913",4.44428182037303e-19,8.72560664066571e-17,6.05046086422714e-17,"Mapt/Palm/Aak1/Cttn/Sptbn1/Coro1c/Epb41l3/Anxa2/Dpysl3/Avil/Map2/Capzb/Arhgap1/Tln1/Rufy3/Myh9/Nf2/Dbn1/Dbnl/Tubb3/Ywhaz/Atp6v1b2/Lcp1/Vim/Arhgap31/Ctnnd1/Pabpc1/Rac1/Gsn/S100a6/Arpc2/Tpm1/Actr2/Shtn1/Cfl1/Exoc4/Dctn1/Cdc42/Abi1/Ablim1/Ablim3/Acap2/Amph/Ank1/Apbb1/Appl1/Arf1/Arf4/Arfip2/Arhgap44/Arhgef6/Arhgef7/Arpc5/Arpin/Atp2b1/Atp2b2/Bcar1/Bcas3/Cadm4/Carmil2/Cd2ap/Cd44/Cdc37/Cdc42bpa/Clasp2/Coro1a/Coro1b/Ddx3x/Dgkz/Dst/Enah/Exoc8/Fgd4/Flot1/Flot2/Gabbr1/Hdac6/Hip1r/Ilk/Inpp5j/Itsn1/Jmy/Kcna2/Mtm1/Mtss2/Nme2/Pacsin1/Pafah1b1/Pak1/Palld/Parva/Phactr4/Pik3ca/Pkn2/Psd3/Ptk2b/Rdx/Ripor1/Robo2/Slk/Snap25/Srcin1/Srgap2/Stmn2/Stx2/Tln2/Trpv2/Tsc1/Twf1/Twf2/Vamp7/Vasp/Wasf1/Wasl",114
"GO:0005874","GO:0005874","microtubule","106/1390","319/9913",6.36647758491977e-19,9.37463824379437e-17,6.50050869197072e-17,"Map6/Mapt/Map1a/Map4/Igbp1/Map1b/Cct8/Synj1/Chmp4b/Dync1li2/Tuba4a/Tppp3/Hspa8/Map2/Dpysl2/Dctn2/Tcp1/Tbcb/Calm1/Chmp2b/Tuba1a/Dync1h1/Tubb3/Kif5a/Hsph1/Mapre1/Stmn1/Septin9/Mapre2/Nudc/Stim1/Tppp/Kif5b/Tubb4b/Cct6a/Tubb5/Shtn1/Dctn1/Cltc/Tubal3/Abraxas2/Arl3/Bcas3/Bicd1/Camsap1/Camsap2/Camsap3/Cep170/Cep170b/Chmp1a/Chmp3/Chmp5/Chmp7/Ckap5/Clasp1/Clasp2/Clip1/Clip2/Cnp/Cyld/Dctn3/Dnm1/Dnm1l/Dnm3/Dst/Dync1i1/Dync1i2/Dync1li1/Emd/Eml1/Eml2/Eml4/Fgf13/Fkbp4/Fsd1/Gsk3b/Hdac6/Katnal1/Katnal2/Katnb1/Kcnab2/Kif1a/Kif21a/Kif2a/Kif3b/Kif5c/Kifap3/Klc1/Klc2/Lrrc49/Map2k1/Map7/Mapre3/Marcks/Nav1/Nckap5l/Pafah1b1/Reep1/Sirt2/Slain2/Spast/Tcp11l1/Tpgs2/Ttl/Wdr44/Xiap",106
"GO:0150034","GO:0150034","distal axon","95/1390","300/9913",1.55114417591999e-15,1.82724783923374e-13,1.26703987422517e-13,"Mapt/Ncam1/Aak1/Cttn/Nefl/Map1b/Pebp1/Prph/Ppp1r2/Dpysl3/Hspa8/Map2/Anxa5/Dpysl2/Septin5/Hsp90ab1/Dctn2/Rufy3/Sncb/Hnrnpk/Calm1/Dbn1/Ap3d1/Crmp1/Tubb3/Kif5a/Cplx1/Sncg/Snca/Stim1/Hsp90aa1/Kif5b/Septin7/Ctnnd1/Arpc2/Shtn1/Cfl1/Exoc4/Amph/Apbb1/Aqp1/Arhgef7/Arpc5/Atp1a3/Bin1/Brsk2/Calb2/Cbarp/Cbl/Clasp2/Cplx2/Dclk1/Dgki/Eno2/Fgf13/Fkbp15/Fkbp4/Git1/Gsk3b/Hdac5/Ilk/Inpp5j/Itsn1/Katnb1/Kcna1/Kcna2/Kcnab2/Kif5c/Klc1/L1cam/Marcks/Mical1/Myo9a/Pacsin1/Pafah1b1/Pak1/Pclo/Prkca/Prkcb/Prrt2/Ptk2b/Rab3a/Septin4/Snap25/Snap91/Stmn2/Syap1/Syp/Syt7/Tanc1/Tmod2/Trpv2/Tsc1/Twf2/Usp9x",95
"GO:0005938","GO:0005938","cell cortex","82/1390","242/9913",1.98031914491566e-15,1.94401329392554e-13,1.3480067161882e-13,"Dmtn/Sptan1/Cttn/Lasp1/Sptbn1/Crip2/Anxa2/Capzb/Septin5/Myh9/Hnrnpk/Nf2/Dbn1/Dbnl/Dync1h1/Tmod1/Cap1/Snca/Mapre1/Septin9/Stim1/Capza2/Stxbp6/Pfn1/Septin7/Epb41/Ctnnd1/Myl12b/Rac1/Dstn/Wdr1/Gsn/Eno1/Actr2/Cfl1/Exoc4/Dctn1/Fgg/Akap13/Ank1/Arfip2/Arhgap32/C2cd2l/Calb2/Cd2ap/Clasp1/Clasp2/Coro1a/Ctbp1/Emd/Eno2/Erc1/Exoc1/Exoc3/Exoc8/Fchsd1/Flot1/Flot2/Fry/Hip1r/Llgl1/Map2k1/Marcks/Mark2/Mpp1/Mtss2/Myo1e/Nedd4/Pafah1b1/Pclo/Ppfia3/Prkcb/Ptk2b/Pvalb/Rdx/Rims1/Rtkn/Septin3/Septin4/Snx9/Tsc1/Wasl",82
"GO:0098793","GO:0098793","presynapse","133/1390","491/9913",4.49290382087957e-15,3.78045764356867e-13,2.62142358270868e-13,"Ncam1/Aak1/Nefl/Atp2b4/Synj1/Pebp1/Prph/Nefm/Sec22b/Hspa8/Stxbp1/Anxa5/Dpysl2/Septin5/Snap47/Cadps/Sncb/Hnrnpk/Calm1/Ap3d1/Sh3gl1/Cplx1/Sncg/Snca/Pfn1/Septin7/Ctnnd1/Arpc2/Phb2/Exoc4/Cltc/Vdac3/Hnrnpab/Ppp1ca/Amph/Ap2a2/Apbb1/Aqp1/Arhgap44/Atp1a3/Atp2b1/Atp2b2/Bin1/Borcs5/Cacnb1/Cadm1/Cadm3/Calb2/Cntn1/Cntnap1/Cops5/Cplx2/Ctbp1/Cttnbp2/Cyth1/Dgki/Dlg2/Dmxl2/Dnm1/Dnm1l/Dnm3/Epn1/Erc1/Exoc3/Flot1/Flot2/Gabbr1/Git1/Ica1/Ilk/Itsn1/Itsn2/Kcna1/Kcna2/Kcnab2/Kif1a/L1cam/Madd/Mal2/Marcks/Mctp2/Mical1/Mtmr2/Napa/Pacsin1/Pclo/Phaf1/Picalm/Pick1/Pip5k1c/Ppfia3/Ppp1cc/Ppp3cc/Prkca/Prkcb/Prkce/Prrt2/Rab11b/Rab15/Rab3a/Rab3c/Rab6b/Rgs7/Rims1/Rph3a/Scamp1/Septin3/Septin4/Sgip1/Sh3gl2/Sh3glb1/Smcr8/Snap25/Snap91/Snx1/Stx1b/Stx2/Stx7/Stxbp5/Syap1/Syn1/Syn2/Syngr3/Syp/Syt4/Syt7/Tanc1/Trim9/Vamp1/Vamp7/Vps11/Vti1b/Wdr7",133
"GO:0030027","GO:0030027","lamellipodium","62/1390","161/9913",7.2578253209301e-15,5.34357389253479e-13,3.705310821738e-13,"Cttn/Coro1c/Dpysl3/Avil/Capzb/Rufy3/Nf2/Dbn1/Dbnl/Tubb3/Arhgap31/Ctnnd1/Rac1/Gsn/Arpc2/Actr2/Shtn1/Cfl1/Abi1/Ablim1/Ablim3/Apbb1/Arhgef6/Arhgef7/Arpc5/Arpin/Bcar1/Carmil2/Cd44/Cdc42bpa/Coro1a/Coro1b/Dgkz/Enah/Fgd4/Flot1/Flot2/Ilk/Itsn1/Kcna2/Mtss2/Nme2/Pak1/Palld/Parva/Phactr4/Pik3ca/Pkn2/Ptk2b/Rdx/Snap25/Srcin1/Srgap2/Stmn2/Stx2/Trpv2/Tsc1/Twf2/Vamp7/Vasp/Wasf1/Wasl",62
"GO:0098984","GO:0098984","neuron to neuron synapse","108/1390","386/9913",2.0734662926511e-13,1.35696849596833e-11,9.40941428711843e-12,"Mapt/Map1a/Palm/Map4/Dmtn/Add1/Atp1a1/Rtn4/Sptbn1/Map1b/Strn/Cast/Epb41l3/Chmp4b/Epb41l1/Add2/Nefm/Rtn3/Hspa8/Map2/Nefh/Cnn3/Rheb/Pak2/Capzb/Snap47/Ank2/Hnrnpk/Chmp2b/Dbn1/Sh3gl1/Dbnl/Pcbp2/Nsf/Ywhaz/Eif4g2/Ctnnd1/Pdlim5/Actr2/Gapdh/Phb2/Exoc4/Abi1/Ablim1/Abr/Adam22/Arf1/Arfgap1/Arhgap32/Arhgap44/Arrb2/Atp1a3/Atp2b2/Bcr/Cadm1/Camk2b/Camk2g/Cnksr2/Crtc1/Dclk1/Dgki/Dgkz/Dlg2/Dnajc6/Dnm3/Dst/Erc1/Frmpd4/Gng3/Gphn/Gsk3b/Hip1r/Hspb1/Iqsec1/Kcnab2/Mal2/Map2k1/Mtmr2/Nf1/Nr3c1/Numb/Pacsin1/Pak1/Pclo/Picalm/Pick1/Pip5k1c/Ptk2b/Rims1/Rps6kc1/Samd14/Sh3gl2/Snap91/Snx1/Sos1/Srcin1/Srgap2/Stat3/Stxbp5/Syn1/Syn2/Syp/Syt7/Tanc1/Tanc2/Tsc1/Usp8/Vamp7",108
"GO:0014069","GO:0014069","postsynaptic density","101/1390","352/9913",2.36591785071227e-13,1.39352561406953e-11,9.6629065902775e-12,"Mapt/Map1a/Palm/Map4/Dmtn/Add1/Atp1a1/Rtn4/Sptbn1/Map1b/Strn/Cast/Epb41l3/Chmp4b/Epb41l1/Add2/Nefm/Rtn3/Map2/Nefh/Cnn3/Rheb/Pak2/Capzb/Snap47/Ank2/Hnrnpk/Chmp2b/Dbn1/Sh3gl1/Dbnl/Pcbp2/Nsf/Ywhaz/Eif4g2/Ctnnd1/Pdlim5/Actr2/Gapdh/Phb2/Exoc4/Abi1/Ablim1/Abr/Adam22/Arf1/Arfgap1/Arhgap32/Arhgap44/Arrb2/Atp2b2/Bcr/Cadm1/Camk2b/Camk2g/Cnksr2/Crtc1/Dclk1/Dgki/Dgkz/Dlg2/Dnajc6/Dnm3/Dst/Erc1/Frmpd4/Gng3/Gphn/Gsk3b/Hip1r/Hspb1/Iqsec1/Kcnab2/Map2k1/Mtmr2/Nf1/Nr3c1/Numb/Pacsin1/Pak1/Pclo/Picalm/Pick1/Pip5k1c/Ptk2b/Rims1/Rps6kc1/Samd14/Snap91/Snx1/Sos1/Srcin1/Srgap2/Stat3/Syn1/Syn2/Syp/Tanc1/Tanc2/Tsc1/Usp8",101
